NĂM,NGÀY,THÁNG,TUẦN,CỬA HÀNG,KÊNH BÁN HÀNG,SỐ LƯỢNG ĐƠN HÀNG,CHIẾT KHẤU,GIẢM GIÁ,DOANH THU,THỰC NHẬN,TRUNG BÌNH ĐƠN HÀNG,CHI PHÍ QUẢNG CÁO,THUẾ
2024,01/01/2024,1,,PHUCTEA138 - TRẦN HOÀNG NA CẦN THƠ,ShopeeFood,3,36.750,,147.000,110.250,49.000,,
2024,01/01/2024,1,,PHUCTEA001 - XÔ VIẾT NGHỆ TĨNH CẦN THƠ,ShopeeFood,2,46.500,,186.000,139.500,93.000,,
2024,01/01/2024,1,,PHUCTEA129 - CMT8 CẦN THƠ,ShopeeFood,1,14.000,,56.000,42.000,56.000,,
2024,01/01/2024,1,,PHUCTEA034 - NGUYỄN AN NINH DĨ AN,GrabFood,8,209.979,,1.050.000,840.021,131.250,,
2024,01/01/2024,1,,PHUCTEA130 - THỦ ĐỨC,GrabFood,5,98.718,45.220,440.000,296.062,88.000,,
2024,01/01/2024,1,,PHUCTEA129 - CMT8 CẦN THƠ,GrabFood,1,20.398,,102.000,81.602,102.000,,
2024,01/01/2024,1,,PHUCTEA132 - U MINH CÀ MAU,GrabFood,2,8.559,5.310,48.000,34.131,24.000,,
2024,01/01/2024,1,,PHUCTEA001 - XÔ VIẾT NGHỆ TĨNH CẦN THƠ,GrabFood,1,51.995,,260.000,208.005,260.000,,
2024,02/01/2024,1,,PHUCTEA138 - TRẦN HOÀNG NA CẦN THƠ,GrabFood,2,32.797,,164.000,131.203,82.000,,
2024,02/01/2024,1,,PHUCTEA138 - TRẦN HOÀNG NA CẦN THƠ,ShopeeFood,2,132.750,,531.000,398.250,265.500,,
2024,02/01/2024,1,,PHUCTEA127 - PHƯỜNG 9 CÀ MAU,GrabFood,1,5.399,,27.000,21.601,27.000,,
2024,02/01/2024,1,,PHUCTEA034 - NGUYỄN AN NINH DĨ AN,GrabFood,3,106.190,,531.000,424.810,177.000,,
2024,02/01/2024,1,,PHUCTEA129 - CMT8 CẦN THƠ,ShopeeFood,2,76.250,,305.000,228.750,152.500,,
2024,03/01/2024,1,,PHUCTEA138 - TRẦN HOÀNG NA CẦN THƠ,ShopeeFood,2,21.250,,85.000,63.750,42.500,,
2024,03/01/2024,1,,PHUCTEA138 - TRẦN HOÀNG NA CẦN THƠ,GrabFood,2,54.594,,273.000,218.406,136.500,,
2024,03/01/2024,1,,PHUCTEA001 - XÔ VIẾT NGHỆ TĨNH CẦN THƠ,ShopeeFood,1,35.000,,140.000,105.000,140.000,,
2024,03/01/2024,1,,PHUCTEA129 - CMT8 CẦN THƠ,ShopeeFood,2,61.250,,245.000,183.750,122.500,,
2024,03/01/2024,1,,PHUCTEA130 - THỦ ĐỨC,GrabFood,3,145.203,93.330,674.000,435.467,224.667,,
2024,03/01/2024,1,,PHUCTEA144 - VĨNH HỘI QUẬN 4,GrabFood,2,30.490,27.220,149.000,91.290,74.500,,
2024,03/01/2024,1,,PHUCTEA001 - XÔ VIẾT NGHỆ TĨNH CẦN THƠ,GrabFood,1,34.797,,174.000,139.203,174.000,,
2024,04/01/2024,1,,PHUCTEA138 - TRẦN HOÀNG NA CẦN THƠ,GrabFood,2,59.994,,300.000,240.006,150.000,,
2024,04/01/2024,1,,PHUCTEA127 - PHƯỜNG 9 CÀ MAU,GrabFood,1,13.199,,66.000,52.801,66.000,,
2024,04/01/2024,1,,PHUCTEA034 - NGUYỄN AN NINH DĨ AN,GrabFood,3,54.195,,271.000,216.805,90.333,,
2024,04/01/2024,1,,PHUCTEA129 - CMT8 CẦN THƠ,GrabFood,1,6.999,,35.000,28.001,35.000,,
2024,04/01/2024,1,,PHUCTEA144 - VĨNH HỘI QUẬN 4,GrabFood,2,40.112,34.720,195.000,120.168,97.500,,
2024,04/01/2024,1,,PHUCTEA001 - XÔ VIẾT NGHỆ TĨNH CẦN THƠ,ShopeeFood,2,82.750,,331.000,248.250,165.500,,
2024,04/01/2024,1,,PHUCTEA129 - CMT8 CẦN THƠ,ShopeeFood,2,32.750,,131.000,98.250,65.500,,
2024,05/01/2024,1,,PHUCTEA138 - TRẦN HOÀNG NA CẦN THƠ,ShopeeFood,2,48.500,,194.000,145.500,97.000,,
2024,05/01/2024,1,,PHUCTEA140 - NGUYỄN VĂN KHỐI GÒ VẤP,GrabFood,1,21.743,,87.000,65.257,87.000,,
2024,05/01/2024,1,,PHUCTEA127 - PHƯỜNG 9 CÀ MAU,GrabFood,1,5.199,,26.000,20.801,26.000,,
2024,05/01/2024,1,,PHUCTEA130 - THỦ ĐỨC,GrabFood,1,12.496,12.110,62.000,37.394,62.000,,
2024,05/01/2024,1,,PHUCTEA034 - NGUYỄN AN NINH DĨ AN,GrabFood,5,117.789,,589.000,471.211,117.800,,
2024,05/01/2024,1,,PHUCTEA001 - XÔ VIẾT NGHỆ TĨNH CẦN THƠ,ShopeeFood,1,15.250,,61.000,45.750,61.000,,
2024,05/01/2024,1,,PHUCTEA129 - CMT8 CẦN THƠ,ShopeeFood,2,43.500,,174.000,130.500,87.000,,
2024,06/01/2024,1,,PHUCTEA138 - TRẦN HOÀNG NA CẦN THƠ,GrabFood,1,28.997,,145.000,116.003,145.000,,
2024,06/01/2024,1,,PHUCTEACENTER001 - CẦN THƠ,ShopeeFood,2,59.500,,238.000,178.500,119.000,,
2024,06/01/2024,1,,PHUCTEA138 - TRẦN HOÀNG NA CẦN THƠ,ShopeeFood,1,19.250,,77.000,57.750,77.000,,
2024,06/01/2024,1,,PHUCTEA130 - THỦ ĐỨC,Gojek,1,16.590,,79.000,62.410,79.000,,
2024,06/01/2024,1,,PHUCTEA130 - THỦ ĐỨC,GrabFood,2,50.609,43.720,246.000,151.671,123.000,,
2024,06/01/2024,1,,PHUCTEA129 - CMT8 CẦN THƠ,GrabFood,1,23.198,,116.000,92.802,116.000,,
2024,06/01/2024,1,,PHUCTEA144 - VĨNH HỘI QUẬN 4,GrabFood,1,53.233,39.110,252.000,159.657,252.000,,
2024,06/01/2024,1,,PHUCTEA034 - NGUYỄN AN NINH DĨ AN,GrabFood,3,41.196,,206.000,164.804,68.667,,
2024,06/01/2024,1,,PHUCTEA001 - XÔ VIẾT NGHỆ TĨNH CẦN THƠ,ShopeeFood,1,16.500,,66.000,49.500,66.000,,
2024,06/01/2024,1,,PHUCTEA130 - THỦ ĐỨC,ShopeeFood,1,44.250,,177.000,132.750,177.000,,
